id,group_id,name,definition,binding,interop,interop_reason,interop_uses,sort
scene.compose,scene,Scene composition and overrides,"Layering, referencing and overriding parts of a scene from several sources.",build,should,"Layered references are a working convenience, and flattening on export is the fallback that keeps the asset moving.",U1,20
scene.units,scene,Units and scale,Real-world scale agreement so imported content is the right size.,build,must,"A metre read as a centimetre makes the asset useless on arrival, and rescaling by hand is the fix the use case forbids.","U1,U2",21
scene.licence,scene,Rights and licence metadata,"What a recipient is permitted to do with an asset, carried with the asset.",build,must,"An item that arrives with no readable terms cannot be lawfully worn, shown or sold, so the move fails at the rights boundary even when every byte arrives.","U1,U3,U4",22
scene.provenance,scene,Provenance and authorship,Signed record of who made an asset and how.,build,should,A signed record of who made an asset lets a receiver trust it; without one the asset still works but nobody can check its history.,"U1,U3",23
avatar.body,avatar,Avatar body format,The portable description of an avatar's mesh and appearance.,build,must,The portable description of the body is the artefact this use case moves; with no agreement the person arrives as nothing.,"U2,U3",24
avatar.skeleton,avatar,Avatar skeleton standard,An agreed bone naming and structure so animation transfers.,build,must,Agreed bone names are what let animation authored anywhere play on the arriving body.,U2,25
avatar.expression,avatar,Facial expression standard,Named expressions and visemes that survive a move between worlds.,build,must,"The use case names expressions, and named shapes the destination does not know leave a blank face.",U2,26
avatar.retarget,avatar,Animation retargeting,Playing animation authored for one body on another.,connect,should,"Retargeting is the repair when skeletons differ, so its absence costs motion quality rather than the visit.",U2,27
avatar.wearable,avatar,Attachments and wearables,"Items worn or carried, with attachment points that survive transfer.",build,must,"Equipped items are named in the use case, and attachment points that do not survive leave items on the floor or on the wrong bone.","U2,U3",28
avatar.lod,avatar,Avatar level of detail,Reduced avatar representations for crowds and weak devices.,connect,should,"Reduced forms matter for crowds and weak devices, and their absence costs frames, not presence.",U2,29
avatar.identity,avatar,Avatar to identity binding,Tying an avatar to a verifiable identity or credential.,connect,must,"Without a way to bind an avatar to a verifiable identity, the person who arrives cannot be shown to be the person who left.","U2,U3,U4",30
physics.rigid,physics,Rigid bodies,"Mass, velocity and the bodies that move by rule.",build,should,Mass and velocity carried across make a moved object behave nearly the same; their absence changes the behaviour without stopping it.,U1,31
physics.collision,physics,Collision shapes,"The shapes used for contact tests, separate from visible geometry.",build,should,"Collision shapes travel separately from visible geometry, and losing them means objects pass through each other until the destination builds its own.","U1,U3",32
physics.joint,physics,Joints and constraints,"Hinges, sliders and other links between bodies.",build,should,"Hinges and sliders that do not survive turn an assembly into loose parts, which is a loss of behaviour rather than of the asset.",U1,33
physics.material,physics,Physics materials,"Friction, restitution and surface response.",build,none,"Friction and restitution numbers mean different things to different solvers, so agreeing on them buys little and each world may keep its own feel.",,34
physics.determinism,physics,Deterministic simulation,Same inputs producing the same outcome on different machines.,connect,should,"Two engines producing the same trajectory would let one object be simulated in two places at once, and nothing does that today.","U1,U3",35
physics.soft,physics,Soft bodies and cloth,Deformable simulation.,build,should,"Cloth and hair are the visible part, so a moved avatar arrives stiff rather than absent.","U1,U2",36
physics.trigger,physics,Trigger volumes,Regions that fire events when entered.,build,should,"Regions that fire events are part of how content behaves, and their loss makes the content inert rather than unreadable.",U1,37
audio.source,audio,Positioned audio sources,Sound placed in the scene with distance and direction.,build,should,"Positioned sounds are authored into a scene, and losing them leaves a silent room.",U1,38
audio.spatial,audio,Spatialization model,"How direction is rendered to the ears, by head-related transfer or ambisonics.",build,none,"How direction is turned into sound at the ears is the receiving system's method, like a rendering method.",,39
audio.room,audio,Room acoustics and reverb,How a space colours sound.,build,should,"A space's acoustic description is authored with it, and without agreement the room sounds wrong rather than silent.",U1,40
audio.occlusion,audio,Occlusion and obstruction,Sound blocked or muffled by geometry.,build,none,"The receiving runtime works this out from its own geometry, frame by frame.",,41
audio.stream,audio,Audio streaming,Delivering audio over the network at scale.,connect,should,"A visitor can be given audio by other means, so disagreement costs quality and scale.",U3,42
audio.voice,audio,Voice transport,Carrying live voice between participants.,connect,should,"A visitor who cannot be heard is diminished but still present, and text remains a fallback.","U3,U4",43
net.replication,net,State replication,"Which state is shared, how often, and in what form.",connect,must,"A client or agent that cannot read the destination's state stream arrives blind, which ends both use cases on the spot.","U3,U4",44
net.authority,net,Authority and ownership,Who decides the truth for a given object.,connect,should,Disagreement about who owns an arriving object shows up as rubber-banding and contested edits rather than as a failed arrival.,"U3,U4",45
net.interest,net,Interest management,Sending each client only what it needs.,connect,should,"Without agreement the destination sends everything or too little, which costs scale.",U3,46
net.prediction,net,Prediction and reconciliation,Hiding latency locally and correcting afterwards.,connect,should,"Latency hiding is local repair work, so its absence is felt as lag.",U3,47
net.transport,net,Transport protocol,The wire protocol carrying session traffic.,connect,must,With no shared wire protocol there is no session to join at all.,"U3,U4",48
net.media,net,Media transport,Carrying live audio and video streams.,connect,should,Live audio and video degrade or drop out while the visit continues.,U3,49
net.session,net,Session establishment,"Joining a running world, including authentication.",connect,must,"Joining a running world, authentication included, is the door: no agreement, no entry.","U3,U4",50
net.handoff,net,Session handoff and portals,Leaving one world and arriving in another with state intact.,connect,must,"This row is the portal itself, and the travel use case is nothing but the handoff.","U2,U3",51
net.presence,net,Presence and roster,"Knowing who is where, across operators.",connect,should,"A roster that does not cross operators means you cannot see who is where, but you can still be there.","U2,U3",52
net.address,net,World addressing and naming,Naming a place and resolving that name to a reachable destination.,connect,must,"A destination name that does not resolve cannot be travelled to, so naming and resolution are the first agreement.","U3,U4",53
net.discovery,net,Discovery,"Finding worlds, nodes or services without knowing them in advance.",connect,should,"Worlds can be reached by a known address, so discovery adds reach rather than making it possible.","U3,U4",54
net.time,net,Clock and time model,Shared time so events order consistently.,connect,should,A shared clock keeps events in order; without one the ordering drifts and coarse clocks still hold the session together.,"U3,U4",55
identity.root,identity,Identity root,"The base identifier for a person, agent or thing.",connect,must,With no shared base identifier the same person or agent is a stranger in every world they enter.,"U2,U3,U4",56
identity.credential,identity,Credential format,How verifiable claims about a subject are expressed.,connect,must,"Claims about age, membership or ownership are worthless if the receiving world cannot read them.","U3,U4",57
identity.exchange,identity,Credential exchange protocol,How two parties request and present credentials.,connect,must,"A credential nobody can ask for or present is not a credential, and one subject reaches this row natively today.","U3,U4",58
identity.capability,identity,Capability and permission grant,"What a subject may do, readable by a party that did not issue it.",connect,must,A world that cannot read what an arriving person or agent is allowed to do must either refuse it or trust it blindly.,"U3,U4",59
identity.privacy,identity,Selective disclosure,Revealing only what a receiving world needs.,connect,should,"Without selective disclosure the traveller over-shares, which is a harm rather than a stop.","U3,U4",60
identity.social,identity,Reputation and social graph,Portable relationships and standing.,connect,should,Relationships and standing that do not travel leave the person present but unknown.,U3,61
identity.rights,identity,Rights enforcement,Acting on licence terms at the point of use.,connect,should,"The terms themselves must cross, and that row is a must; acting on them is the receiver's own behaviour, and no agreed mechanism exists yet.","U1,U3,U4",62
geo.pose,geo,Geospatial pose,Position and orientation expressed against the Earth.,build,must,"Content pinned to the Earth must land in the same place in the other system, and a pose that cannot be read puts it somewhere else.","U1,U3",63
geo.crs,geo,Coordinate reference systems,Agreeing which frame coordinates are expressed in.,build,must,"A frame disagreement is measured in metres or kilometres, not in taste.","U1,U3",64
geo.anchor-local,geo,Local anchors,Fixing content to a place on one device.,connect,none,An anchor made on one device never leaves it; the sharing case is the next row.,,65
geo.anchor-shared,geo,Shared and persistent anchors,Fixing content to a place across devices and sessions.,connect,must,"Two people in two systems must see the same thing in the same spot, and today one subject reaches this row, through an extension.","U1,U3",66
geo.vps,geo,Visual positioning,Recovering precise pose from camera imagery.,connect,should,"Recovering pose from imagery can fall back to satellite position and manual alignment, at worse accuracy.",U3,67
geo.tiles,geo,Tiled terrain and city streaming,Streaming large geospatial 3D data by tile.,connect,must,"City-scale data is streamed by tile, and a tileset the receiving client cannot stream has to be converted before it is usable.",U1,68
geo.indoor,geo,Indoor mapping,Structured description of interior spaces.,build,should,"A structured description of an interior makes placement and routing better; without one both are cruder, and nothing reaches this row today.","U1,U3",69
input.session,input,Immersive session lifecycle,"Starting, running and ending an immersive session on a device.",connect,must,"The visitor's app and the device runtime are two independent systems, and if they cannot start an immersive session the visit does not happen.",U3,70
input.controller,input,Controller input,"Buttons, sticks and pose from handheld devices.",connect,should,"A world that reads controllers differently is harder to use, and pointer and text paths remain.","U3,U4",71
input.hand,input,Hand tracking,Articulated hand pose as an input source.,connect,should,"Hand tracking adds a way in, and its absence falls back to controllers.",U3,72
input.eye,input,Eye tracking,"Gaze direction as input, with its privacy constraints.",connect,should,"Gaze is an aid with privacy limits, and everything works without it.",U3,73
input.haptic,input,Haptics,Touch feedback to the user.,connect,should,"Touch feedback is felt when it is missing, and nothing stops.",U3,74
input.devcaps,input,Device capability discovery,Learning what the client device can actually do.,connect,should,"A world that cannot ask what the arriving device can do will guess, and guessing wrong costs quality rather than entry.","U1,U3",75
logic.script,logic,Scripting runtime,The language and runtime that expresses world rules.,build,none,The language a world writes its rules in is its own business and never has to cross.,,76
logic.behaviour,logic,Behaviour graphs and interactivity,Declarative interactivity that travels with an asset.,build,must,"The use case says the asset must behave, so a door that will not open in the second system is the failure this row names.","U1,U2",77
logic.sandbox,logic,Sandboxing and isolation,"Running untrusted content safely, with limits.",build,should,A host can sandbox guest content on its own; agreement only makes the limits predictable for the guest.,"U1,U4",78
logic.agent,logic,Agent integration,Autonomous agents acting inside a world.,connect,must,An agent with no agreed way to perceive and act in a world it did not come from cannot join it at all.,U4,79
logic.budget,logic,Resource budgets,"Bounding memory, time and calls for guest content.",build,should,"Without agreed limits, guest content and agents are throttled or refused unpredictably.","U1,U4",80
persist.world,persist,World state persistence,What survives a restart of the world.,connect,should,What survives a restart is mostly the host's business; it crosses the boundary only when a visitor's changes must last.,U3,81
persist.inventory,persist,Inventory,"Items a user holds, and whether they travel.",connect,must,"The use case names inventory, and items that cannot be read at the destination do not travel with the person.",U3,82
persist.prefs,persist,Preference portability,Settings and accessibility choices that follow the user.,connect,must,"The use case names preferences, and for a person who depends on comfort and accessibility settings, arriving without them ends the visit.",U3,83
persist.content-addr,persist,Content addressing,Referring to content by hash rather than location.,build,should,Naming content by hash makes an item the same item everywhere; without it copies drift while still loading.,"U1,U3",84
deliver.bundle,deliver,Bundle format,How a runnable experience is packaged.,build,should,"A runnable experience moves between hosts far less often than an asset does, and repackaging is the fallback.",U1,85
deliver.cdn,deliver,Content delivery,Getting assets to clients at scale.,connect,should,"Assets reach clients over ordinary web delivery, so agreement here buys scale and cost rather than possibility.","U1,U3",86
deliver.version,deliver,Versioning and update,Shipping changes without breaking existing content.,build,must,"A reader that cannot tell which version it holds, or what to do with the parts it does not know, breaks on the first update, which is the ""no hand fixes"" test again.","U1,U2",87
deliver.conformance,deliver,Conformance testing,Proving an implementation actually matches the specification.,build,must,"Every other must row is a claim until a shared test says it holds, which is exactly what the meeting asked for.","U1,U2,U3,U4",88
capture.worldgen,capture,World generation from a prompt or an image,"Producing a whole three-dimensional place from a description or a picture, rather than reconstructing one that exists — and whether what comes out is a scene a receiver can keep, or frames it can only watch.",build,should,"A generated place that arrives only as frames to watch still reaches the viewer, but as a recording rather than a world the receiver can open and use.",U1,89
capture.sim-learned,capture,Simulation from a learned model,"A model that continues a world in response to what the viewer does, producing each next moment itself instead of handing over a scene for an engine to run — with the stated limits on trusting that prediction.",connect,should,"A world continued by a model still reaches a viewer, but only as what the model chooses to show, so the receiver cannot keep it or run it again.",U1,90
capture.photogrammetry,capture,Photogrammetric object capture,Building a textured three-dimensional model from a set of ordinary photographs of a real object.,build,none,"How a system turns photographs into a model is its own method, and what leaves is an ordinary asset the container and geometry rows already carry.",,91
capture.splat-format,capture,Splat data interchange format,"Carrying Gaussian splat data between tools and runtimes as a named format, as distinct from being able to render splats already in memory.",build,must,"Captured content is first-class, so this row is what geometry encoding is for a mesh: splat content in a named format the receiving tool cannot read does not arrive at all, and re-exporting it is the hand fix the use case forbids.",U1,92
capture.stream,capture,Captured-scene streaming,"Delivering a captured scene progressively, by region and by detail level, so a viewer starts before the whole scene has arrived and never holds more than it can draw.",connect,should,"Without an agreed order for what arrives first, a large capture still loads, it just makes the viewer wait for the whole of it.","U1,U3",93
capture.volumetric-video,capture,Volumetric video capture and playback,"A captured, time-varying three-dimensional scene carried and replayed as media, rather than authored as geometry, including the camera calibration and mask metadata a second implementation would need to reproduce it.",build,must,"Captured content is first-class, so a volumetric clip is an asset like any other: without the calibration and mask metadata a second implementation needs, what arrives is not the recording and no one can make it one by hand.",U1,94
capture.point-cloud,capture,Point cloud encoding,"How a set of points, each with a position and zero or more attributes, is encoded and compressed.",build,must,"Captured content is first-class, so a point cloud encoded in a way the receiver cannot decode is not a point cloud, exactly as an undecodable mesh is not a mesh, and that capture shows nothing.",U1,95
capture.multiview-depth,capture,Multi-view plus depth,"Carrying a scene as several calibrated camera views with per-pixel depth, together with the camera intrinsics and extrinsics needed to reproject them.",build,must,"Captured content is first-class, so views that arrive without their intrinsics and extrinsics cannot be reprojected: the capture lands as loose pictures rather than as the place it recorded.",U1,96
capture.novel-view,capture,Novel view synthesis,Producing an image from a viewing position that no capture camera occupied.,build,none,"Making an image from a viewpoint no camera occupied is a method inside one system, and what crosses to a second system is the picture it produced.",,97
capture.4d,capture,Time-varying capture,"Carrying a captured scene that changes over time, so that a receiver can play it back at the right rate without being handed each frame as an unrelated file.",connect,must,"Captured content is first-class, so a moving capture handed over as unrelated frames is not the capture: the receiver has to guess the rate and the ordering the sender already knew, and guessing is the hand fix the use case forbids.",U1,98
capture.relight,capture,Relighting captured content,"Making a captured scene respond to the lighting of the place it is dropped into, rather than staying lit as it was on the day it was photographed.",build,none,"Whether a captured scene answers the light around it is work the receiving system does, and the asset arrives either way.",,99
capture.edit,capture,Editing a capture after the fact,"Changing a captured scene — cropping, deleting, recolouring — in a way that survives export, and that applies consistently to every frame of a moving capture.",build,none,"Editing a capture happens in the tool that holds it, and what leaves is the edited asset, which the format rows already carry.",,100
capture.gen-edit,capture,Generative editing of a world,"Changing a world that has already been made by describing the change in words or pointing at a region, and growing it past its original edges, with earlier versions kept rather than overwritten.",build,none,"Describing a change to a world you already made is one service's own interface, and the world that results still leaves by the ordinary export rows.",,101
capture.gen-control,capture,Control over what gets generated,"What a generating system accepts as a specification of the world it should make — a description, one or several reference images with their placement, a panorama, a video, a seed, or uploaded coarse geometry — and in which interchange formats that specification may arrive.",connect,should,"A generator that cannot read the specification another tool wrote still produces a world, it just will not be the world that was asked for.",U1,102
capture.derived-asset,capture,Deriving conventional assets from a generated scene,"Turning a splat or radiance-field world into the representations a conventional engine already understands — a collision mesh, a mesh for drawing, a panorama, a video — and stating what is lost in each.",build,should,"Derived meshes and panoramas are how a generated world reaches a conventional engine at all, and each route loses something the receiver has to be told about.",U1,103
capture.action-io,capture,Action and control exchange,"Carrying an agent's actions — poses, joint or gripper values, camera motion — into and out of a system as time-sampled data, with the embodiment, the frame, the units and any normalisation stated, so a second implementation can read them.",connect,should,"Actions that arrive without their embodiment, frame and units cannot be replayed elsewhere, so an agent acts only in the system it was written for.",U4,104
capture.panorama,capture,Panoramic scene imagery,"Carrying a full 360-degree view of a place as an image, with its projection stated, so a receiver can use it as a scene, as a backdrop, or as a light source.",build,should,"A panorama whose projection is not stated is still an image, but the receiver has to guess before it can use it as a backdrop or as a light.",U1,105
sense.mesh,sense,Real-world reconstruction,"Producing a geometric description of the space around a device from its own sensors — mesh, planes, or a parametric room — while the session runs, and whether that description can leave the session it was made in.",connect,should,"A reconstruction that cannot leave the device that made it keeps the room private to one session, so anything placed against it has to be fitted again elsewhere.","U1,U3",106
sense.semantics,sense,Semantic labelling of the real world,"Naming what a real surface, object or pixel is — floor, wall, sky, road, person — as per-pixel classes or detected objects, in a channel set an application can read by name, and carried so another system can act on it.",connect,should,"Labels each vendor names differently still serve one application, but a second one cannot act on floor or sky without being rewritten for that vendor.",U1,107
sense.depth,sense,Real-world depth,"Per-pixel distance from the camera to real surfaces, from a depth sensor or inferred from camera imagery, in metric units.",connect,should,"Depth reported in units the receiver does not share puts real surfaces at the wrong distance, so content is placed badly rather than not at all.",U1,108
sense.occlusion,sense,Real-world occlusion,"Hiding virtual content behind real surfaces, from live depth, a reconstructed mesh, or a blend of the two.",connect,none,"Whether real surfaces hide virtual content is drawn on the device that sees them, and none of that decision crosses to a second system.",,109
render.passthrough,render,Passthrough and environment blending,"Mixing the live camera view of the real world with rendered content, and controlling how much of each the viewer sees, including cutting a hole in a virtual environment to let a real object through.",build,none,"How much of the real room a runtime lets through is its own presentation, and an arriving asset cannot tell the difference.",,110
input.face,input,Face and body tracking as input,"The user's own facial expression and body pose delivered as a live sensor stream, with the privacy constraints that go with it — distinct from the format an avatar stores, which is avatar.expression.",connect,should,"A face and body stream in a shape the receiver does not read leaves the avatar still rather than absent, and its privacy terms have to be agreed with it.",U2,111
scene.navmesh,scene,Navigable space and arrival points,"Saying where in a place a body may stand, walk and arrive — walkable surface, bounds, spawn points — carried with the scene rather than recomputed by whoever opens it.",build,should,"A place that arrives without its walkable surface and arrival points still loads, but whoever opens it has to work out where a body may stand and where a portal lands.","U1,U3",112
logic.namespace,logic,Permanent code identity,"Naming a published unit of logic so that the name resolves to the same thing forever, and so no second author can ever claim it.",connect,should,"A published unit of logic whose name resolves to something else elsewhere still runs, but nobody can be sure which code they called.",U4,113
deliver.moderation,deliver,Content review and safety gating,"Review that stands between finished content and the people who will see it, and who performs it — including whether a receiving world can tell what review a piece of arriving content has already had.",connect,should,"A receiving world that cannot tell what review arriving content has already had still shows it, and has to repeat the whole review itself.","U1,U3",114
geo.map-align,geo,Map lifecycle and alignment,"Declaring that a map of a place exists, with its version and lifecycle, and publishing the transform that aligns it to another map of the same place.",connect,should,"Two maps of one place with no published transform between them put the same content in two positions, so a person arrives beside where they meant to be.",U3,115
geo.coverage,geo,Coverage declaration,"Declaring the geographic area a service, dataset or piece of content applies to, in a stated frame, so a client can test whether it is relevant where the client is.",connect,should,"A service that never declares where it applies still answers, so a client has to call it and find out instead of testing whether it is relevant.",U3,116
deliver.extension,deliver,Extension mechanism,"A declared way to add data or behavior, with names and rules for recipients that do not implement the extension.",build,must,A receiver must distinguish required additions from optional ones or it cannot safely interpret an arriving asset or exchange.,"U1,U2,U3,U4",117
deliver.profile,deliver,Named subsets and levels,"Named subsets, components, or levels with stated requirements, allowing an implementation and content to declare a compatible contract.",connect,should,"Named subsets make compatible requirements easier to select, while systems can still agree on the individual requirements without a named profile.","U1,U2,U3,U4",118
render.color,render,Colour space and dynamic range,"Declaring the color interpretation and output range of images, textures, and rendering surfaces so receivers can perform the required conversions.",build,should,"Content still arrives when color conventions differ, but its colors and brightness can change visibly.","U1,U2",119
scene.metadata,scene,Domain metadata carried with an asset,"Structured descriptive properties attached to a scene or its parts, with enough declared structure for another system to read them.",build,should,"An asset can load without shared descriptive properties, but receivers lose the classifications and facts that drive its use.","U1,U2,U3,U4",120
identity.assurance,identity,Assurance and evidence behind a claim,"Evidence and assurance information accompanying a claim, enabling the relying party to assess how the claim was established.",connect,should,"A credential can be presented without shared assurance detail, but the receiver has less evidence for deciding whether to trust it.","U3,U4",121
identity.schema,identity,Claim vocabulary and schema,"Declaring the vocabulary, types, and validation schemas needed to interpret and check the structure of a claim.",connect,must,A receiving world cannot use a credential reliably unless it can interpret the claim vocabulary and check its structure.,"U3,U4",122
identity.unlinkable,identity,Pairwise identifiers and unlinkability,"Pairwise identifiers and presentation mechanisms that reduce correlation across relationships, with their remaining correlation risks stated.",connect,should,"Travel can continue with reusable identifiers, but correlating visits across relationships creates a privacy loss.","U2,U3,U4",123
scene.thumbnail,scene,Preview image for an asset,"A preview image referenced or packaged with an asset, usable without rendering its three-dimensional contents.",build,should,"A moved asset remains usable without a shared preview image, but selection and arrival previews become slower or less informative.","U1,U2,U3",124
identity.encryption,identity,Encryption keys and confidential delivery,Identifying recipient key material and algorithms that permit confidential communication or encrypted content for an intended subject.,connect,should,"Travel and participation can use a shared session without encrypted subject payloads, but lack of agreement prevents confidential subject data from following safely.","U3,U4",125
identity.key-lifecycle,identity,"Key rotation, revocation and recovery","Rules for changing, revoking, or recovering identity-control keys and for discovering the applicable verification material.",connect,must,"After identity keys change, a destination must find the applicable verification material to recognize the same person or agent safely.","U2,U3,U4",126
identity.status,identity,Credential status and revocation,"A defined mechanism to discover the suspension, revocation, or other status of a credential after issuance.",connect,must,A destination cannot rely on an issued credential for admission or authority unless the agreed mechanism lets it discover that the credential has been withdrawn.,"U3,U4",127
render.ui,render,Two-dimensional interface surfaces,"Layout and presentation of two-dimensional interface regions, including their size, alignment, and relationship to a display or scene.",build,should,"A scene or visit can continue when interface layouts differ, but carried controls and information may become hard to use.","U1,U3,U4",128
sense.lighting,sense,Real-world lighting estimation,Runtime estimates of environmental illumination made available to content for lighting or reflections.,connect,none,Estimating illumination for the local view stays within the sensing and rendering system and requires no agreement between the independent worlds in the four use cases.,,129
sense.marker,sense,Marker and image tracking,Detecting recognized physical markers or images and reporting their tracked pose relative to a runtime reference space.,connect,should,"Shared marker references improve physical alignment across systems, while a scene or visit can still proceed with another placement method.","U1,U3",130
deliver.resolve,deliver,Asset reference resolution,Resolving scene resource identifiers against a context or resolver so the referenced resources can subsequently be accessed.,connect,must,An asset with external resources cannot load intact if the receiver cannot resolve its resource references in the intended context.,"U1,U2",131
geo.trajectory,geo,Pose series and live pose streams,"Time-associated pose sequences or streams describing an object's changing location and orientation, with any interpolation rules declared separately.",connect,must,Systems exchanging moving subjects must agree on the time and frame of each pose or the subject's movement cannot be reconstructed correctly.,"U1,U2,U3",132
input.pointing,input,Pointing and selection against content,Picking scene content from pointing input and reporting the intersected object or geometry to the application.,connect,none,Turning local pointing input into a scene hit stays inside the receiving application and does not require agreement between independent worlds.,,133
input.text,input,Text entry,"Receiving character or string entry through a defined input interface, separate from interpreting physical controller actions.",connect,none,Receiving text through a local input field or keyboard interface is a device-side interaction and need not be shared between worlds.,,134
render.layer,render,Compositor layers,Submitting distinct shaped image layers to a display compositor with their placement and composition properties.,connect,none,The choice of image layers sent to a device compositor is local presentation work and need not be shared across a world boundary.,,135
scene.bounds,scene,Bounding volumes and spatial index,"Bounding volumes associated with scene content, organized for spatial rejection, traversal, or selection before detailed geometry is loaded.",build,should,Shared bounds let a receiver select content before loading its geometry; without them the content can still move but loads and traverses less efficiently.,U1,136
scene.collection,scene,Named sets of objects,Named or rule-defined sets of scene objects that consumers can use as targets for scene operations.,build,should,Losing agreed object sets weakens grouped scene operations while the individual objects can still be transferred and rendered.,U1,137
scene.constraint,scene,Transform constraints,Authored runtime relationships that constrain one node's transform using another node and defined evaluation rules.,build,should,"A moved object or avatar can still load when constraints are lost, but linked movement and pose behavior degrade.","U1,U2",138
scene.timed-media,scene,Timed media inside a scene,Referencing timed audiovisual media inside a scene and defining the synchronization needed to present it as scene content.,build,should,"A scene can transfer without agreed media timing, but its video, sound and coordinated presentation can be lost or drift.",U1,139
sense.play-space,sense,Usable physical area,Runtime-reported physical play-area bounds and floor-relative reference information available to an application.,connect,none,Physical play-area bounds and floor references describe one device's surroundings and can remain local while the four cross-system use cases proceed.,,140
audio.procedural,audio,Sound generated at play time,"Generating audio during playback from an exchanged synthesis model, supporting data, and changing control parameters.",build,should,"A moved scene remains usable without its agreed synthesis model, but generated sound and its response to changing controls are lost.",U1,141
deliver.protection,deliver,Content protection signalling,Declaring the protection scheme associated with protected content components so recipients can identify the required protection mechanism.,connect,must,A receiver cannot access protected transferred content unless it can identify the protection mechanism required for that content.,"U1,U3",142
geo.pose-graph,geo,Linked pose structures,Interchanging linked poses and transforms as chains or graphs so related frames can be reconstructed consistently.,build,must,"Without agreed links and transform meaning, receivers cannot reconstruct the same related frames for transferred content or participants.","U1,U2,U3",143
geo.zone-event,geo,Published zones and spatial events,"Interchanging identified spatial zones, typed events scoped to them, and summaries with defined spatial and temporal meaning.",connect,should,"Travel and participation can continue without shared zone-event meaning, but spatial notifications and summaries lose useful context.","U1,U3,U4",144
identity.consent,identity,Consent carried with the subject,"Carrying a grant of permission with scope, purpose, validity, and withdrawal information for uses of the subject or represented data.",connect,must,A recipient that cannot interpret the carried permission cannot determine whether the requested use of the subject or data is authorized.,"U1,U2,U3,U4",145
identity.receipt,identity,Record of what a system decided,"A machine-readable account of a recipient's evaluation and action, with any signature or integrity proof explicitly identified.",connect,should,"A shared evaluation receipt makes cross-system actions auditable, while travel or participation can still occur without that record.","U3,U4",146
