subject_id,subject,kind,status,group,capability_id,capability,binding,interop,interop_reason,level,confidence,note,sources
arkit,Apple ARKit and RealityKit,device-platform,shipping,Physics & simulation,physics.material,Physics materials,format,none,"Friction and restitution numbers mean different things to different solvers, so agreeing on them buys little and each world may keep its own feel.",native,verified,"A physics material resource carries static friction, dynamic friction and restitution.",https://developer.apple.com/documentation/realitykit/physicsmaterialresource
arkit,Apple ARKit and RealityKit,device-platform,shipping,Physics & simulation,physics.determinism,Deterministic simulation,protocol,should,"Two engines producing the same trajectory would let one object be simulated in two places at once, and nothing does that today.",none,reported,"Apple states no determinism guarantee for the simulation. The synchronised multi-device model is authority-and-replication over the network rather than a matching simulation on each device, which is the design a system without determinism has to choose.",
arkit,Apple ARKit and RealityKit,device-platform,shipping,Physics & simulation,physics.soft,Soft bodies and cloth,format,should,"Cloth and hair are the visible part, so a moved avatar arrives stiff rather than absent.",none,reported,"No cloth and no deformable body simulation is documented in either framework. Deformation is available only as skinning and blend shapes, which are animation, not simulation.",
arkit,Apple ARKit and RealityKit,device-platform,shipping,Physics & simulation,physics.trigger,Trigger volumes,format,should,"Regions that fire events are part of how content behaves, and their loss makes the content inert rather than unreadable.",native,verified,"A trigger volume is an invisible shape that reports entry and exit without taking part in the simulation, and any collision entity can be switched into trigger mode.",https://developer.apple.com/documentation/realitykit/collisioncomponent | https://developer.apple.com/documentation/realitykit/triggervolume
arkit,Apple ARKit and RealityKit,device-platform,shipping,Audio,audio.source,Positioned audio sources,format,should,"Positioned sounds are authored into a scene, and losing them leaves a silent room.",native,verified,"Sound is played from an entity and follows it; playback is spatial unless the app asks otherwise, and mix groups gather several playing sounds under one gain.",https://developer.apple.com/documentation/realitykit/spatialaudiocomponent | https://developer.apple.com/documentation/realitykit/audiomixgroup
arkit,Apple ARKit and RealityKit,device-platform,shipping,Audio,audio.spatial,Spatialization model,format,none,"How direction is turned into sound at the ears is the receiving system's method, like a rendering method.",native,verified,"Three rendering modes ship: spatial with distance attenuation and directivity, ambient projected from an angle without reverberation, and channel routed straight to the outputs. Spatial sources are mono only, so a multichannel asset is mixed down before spatialization.",https://developer.apple.com/documentation/realitykit/spatialaudiocomponent | https://developer.apple.com/documentation/realitykit/ambientaudiocomponent | https://developer.apple.com/documentation/realitykit/channelaudiocomponent
arkit,Apple ARKit and RealityKit,device-platform,shipping,Audio,audio.room,Room acoustics and reverb,format,should,"A space's acoustic description is authored with it, and without agreement the room sounds wrong rather than silent.",native,verified,On visionOS the real room is simulated by default and colours every spatial source; a reverb component overrides it with a named preset for an authored environment.,https://developer.apple.com/documentation/realitykit/spatialaudiocomponent | https://developer.apple.com/documentation/realitykit/reverbcomponent
arkit,Apple ARKit and RealityKit,device-platform,shipping,Audio,audio.occlusion,Occlusion and obstruction,format,none,"The receiving runtime works this out from its own geometry, frame by frame.",partial,verified,"Surfaces have acoustic materials with per-band absorption and scattering, which is the input an occlusion model needs, and a named preset list covers common real surfaces. What is missing is the control: no documented obstruction or occlusion setting, and no way to ask whether geometry blocks a given source.",https://developer.apple.com/documentation/realitykit/audio/material
arkit,Apple ARKit and RealityKit,device-platform,shipping,Audio,audio.stream,Audio streaming,protocol,should,"A visitor can be given audio by other means, so disagreement costs quality and scale.",partial,verified,"An audio resource loads from a file or a URL and its loading strategy decides how the data is handled before and during playback, which covers reading a long asset without holding it in memory. There is no network audio delivery of the subject's own.",https://developer.apple.com/documentation/realitykit/audiofileresource
arkit,Apple ARKit and RealityKit,device-platform,shipping,Audio,audio.voice,Voice transport,protocol,should,"A visitor who cannot be heard is diminished but still present, and text remains a fallback.",none,reported,"Neither framework carries live voice. A shared session on this platform runs on a FaceTime call, and the call carries the talking; the app gets synchronised activity data, not an audio channel it can route into the scene.",https://developer.apple.com/documentation/groupactivities
arkit,Apple ARKit and RealityKit,device-platform,shipping,Networking & session,net.replication,State replication,protocol,must,"A client or agent that cannot read the destination's state stream arrives blind, which ends both use cases on the spot.",native,verified,"Every entity has a synchronization component with a network identifier, and the multipeer service keeps the scenes of connected devices matching automatically. It is same-app replication: both ends run the same build of the same app.",https://developer.apple.com/documentation/realitykit/synchronizationcomponent | https://developer.apple.com/documentation/realitykit/multipeerconnectivityservice
arkit,Apple ARKit and RealityKit,device-platform,shipping,Networking & session,net.authority,Authority and ownership,protocol,should,Disagreement about who owns an arriving object shows up as rubber-banding and contested edits rather than as a failed arrival.,native,verified,"One process owns an entity, the owner can be read, ownership can be handed to a named peer, and a transfer mode governs whether a request is granted.",https://developer.apple.com/documentation/realitykit/synchronizationcomponent | https://developer.apple.com/documentation/realitykit/multipeerconnectivityservice
arkit,Apple ARKit and RealityKit,device-platform,shipping,Networking & session,net.interest,Interest management,protocol,should,"Without agreement the destination sends everything or too little, which costs scale.",none,reported,"Nothing decides what each peer needs. The multipeer session synchronises the scene to all connected devices, and no filter, relevance rule or area of interest is exposed.",
arkit,Apple ARKit and RealityKit,device-platform,shipping,Networking & session,net.prediction,Prediction and reconciliation,protocol,should,"Latency hiding is local repair work, so its absence is felt as lag.",none,reported,"No prediction and no reconciliation. Apple's own guidance is that synchronisation can simply fail on a poor connection, with no local-correction machinery offered.",
arkit,Apple ARKit and RealityKit,device-platform,shipping,Networking & session,net.transport,Transport protocol,protocol,must,With no shared wire protocol there is no session to join at all.,native,verified,"The one transport the subject ships is peer-to-peer: RealityKit's synchronization service is built on Multipeer Connectivity, which runs over infrastructure Wi-Fi, peer-to-peer Wi-Fi and Bluetooth. There is no client-server transport and no internet-scale session.",https://developer.apple.com/documentation/realitykit/multipeerconnectivityservice | https://developer.apple.com/documentation/multipeerconnectivity
arkit,Apple ARKit and RealityKit,device-platform,shipping,Networking & session,net.media,Media transport,protocol,should,Live audio and video degrade or drop out while the visit continues.,partial,verified,"Live video reaches the scene, but the transport is not the subject's. A video component takes a player the app supplies and draws its output in three dimensions; nothing in ARKit or RealityKit moves an audio or video stream between participants.",https://developer.apple.com/documentation/realitykit/videoplayercomponent
arkit,Apple ARKit and RealityKit,device-platform,shipping,Networking & session,net.session,Session establishment,protocol,must,"Joining a running world, authentication included, is the door: no agreement, no entry.",via-extension,verified,"Joining is done by two other frameworks. Nearby devices invite each other through Multipeer Connectivity, and a shared session across a call is a SharePlay group activity on the FaceTime infrastructure. RealityKit adds only a compatibility check so a host can refuse a peer on an incompatible version.",https://developer.apple.com/documentation/groupactivities | https://developer.apple.com/documentation/realitykit/networkcompatibilitytoken
arkit,Apple ARKit and RealityKit,device-platform,shipping,Networking & session,net.handoff,Session handoff and portals,protocol,must,"This row is the portal itself, and the travel use case is nothing but the handoff.",none,verified,"There is no leaving one world and arriving in another with state intact. RealityKit's portal looks into a second world inside the same app's scene, and entities may cross its boundary, but both worlds belong to one process; nothing crosses to another publisher's experience.",https://developer.apple.com/documentation/realitykit/portalcomponent
arkit,Apple ARKit and RealityKit,device-platform,shipping,Networking & session,net.presence,Presence and roster,protocol,should,"A roster that does not cross operators means you cannot see who is where, but you can still be there.",partial,verified,"Within one collaborative session ARKit reports an anchor for each nearby user, giving their pose, and a group activity has a participant list. Both stop at the edge of the session; there is no roster across operators or across apps.",https://developer.apple.com/documentation/groupactivities | https://developer.apple.com/documentation/arkit/arparticipantanchor
arkit,Apple ARKit and RealityKit,device-platform,shipping,Networking & session,net.address,World addressing and naming,protocol,must,"A destination name that does not resolve cannot be travelled to, so naming and resolution are the first agreement.",none,verified,"No world is named and no name is resolved. The only address in the subject is a file address: a web page links a USDZ or Reality file and the system opens it in AR Quick Look, which names a model, not a place.",https://developer.apple.com/documentation/arkit/previewing-a-model-with-ar-quick-look
arkit,Apple ARKit and RealityKit,device-platform,shipping,Networking & session,net.discovery,Discovery,protocol,should,"Worlds can be reached by a known address, so discovery adds reach rather than making it possible.",via-extension,verified,"Discovery is Multipeer Connectivity's: a browser looks for nearby devices advertising a named service type, and the app must declare the Bonjour services it browses. It reaches the local network only.",https://developer.apple.com/documentation/multipeerconnectivity
arkit,Apple ARKit and RealityKit,device-platform,shipping,Networking & session,net.time,Clock and time model,protocol,should,A shared clock keeps events in order; without one the ordering drifts and coarse clocks still hold the session together.,none,reported,"No shared clock. Frames carry a local capture timestamp and the physics simulation can be driven by a custom clock, but neither is agreed between devices, and nothing orders events across a session.",https://developer.apple.com/documentation/realitykit/physicssimulationcomponent
arkit,Apple ARKit and RealityKit,device-platform,shipping,"Identity, trust & rights",identity.root,Identity root,protocol,must,With no shared base identifier the same person or agent is a stranger in every world they enter.,out-of-scope,reported,"Neither framework defines an identifier for a person, agent or thing. Identity on this platform lives in separate sign-in services outside the subject.",
arkit,Apple ARKit and RealityKit,device-platform,shipping,"Identity, trust & rights",identity.credential,Credential format,protocol,must,"Claims about age, membership or ownership are worthless if the receiving world cannot read them.",out-of-scope,reported,"No format for a checkable claim about a subject, and nothing in either framework reads one.",
arkit,Apple ARKit and RealityKit,device-platform,shipping,"Identity, trust & rights",identity.exchange,Credential exchange protocol,protocol,must,"A credential nobody can ask for or present is not a credential, and one subject reaches this row natively today.",out-of-scope,reported,No protocol for requesting and presenting claims.,
arkit,Apple ARKit and RealityKit,device-platform,shipping,"Identity, trust & rights",identity.capability,Capability and permission grant,protocol,must,A world that cannot read what an arriving person or agent is allowed to do must either refuse it or trust it blindly.,none,verified,"There is a permission model, but it is app-to-system and not portable: a session asks the person for world-sensing or hand-tracking authorization and the system answers. Nothing states what a subject may do in a form a second party could check.",https://developer.apple.com/documentation/arkit/arkitsession
arkit,Apple ARKit and RealityKit,device-platform,shipping,"Identity, trust & rights",identity.privacy,Selective disclosure,protocol,should,"Without selective disclosure the traveller over-shares, which is a harm rather than a stop.",out-of-scope,reported,Selective disclosure of credentials is not something either framework does. The platform's privacy work is of a different kind: it withholds sensor data from the app rather than revealing part of a claim to a receiver.,
arkit,Apple ARKit and RealityKit,device-platform,shipping,"Identity, trust & rights",identity.social,Reputation and social graph,protocol,should,Relationships and standing that do not travel leave the person present but unknown.,out-of-scope,reported,No relationships and no standing are modelled.,
arkit,Apple ARKit and RealityKit,device-platform,shipping,"Identity, trust & rights",identity.rights,Rights enforcement,protocol,should,"The terms themselves must cross, and that row is a must; acting on them is the receiver's own behaviour, and no agreed mechanism exists yet.",out-of-scope,reported,"Nothing acts on licence terms at the point of use, because nothing carries them.",
arkit,Apple ARKit and RealityKit,device-platform,shipping,Spatial & geospatial,geo.pose,Geospatial pose,format,must,"Content pinned to the Earth must land in the same place in the other system, and a pose that cannot be read puts it somewhere else.",native,verified,"A location anchor is placed by latitude, longitude and optional altitude, and the session keeps its position and orientation as the user moves, aligned East-North-Up.",https://developer.apple.com/documentation/arkit/argeoanchor
arkit,Apple ARKit and RealityKit,device-platform,shipping,Spatial & geospatial,geo.crs,Coordinate reference systems,format,must,"A frame disagreement is measured in metres or kilometres, not in taste.",partial,verified,"One frame, fixed. Coordinates are latitude and longitude in WGS 84 with altitude in metres against sea level, and the local frame is East-North-Up. There is no way to name a different reference system, and no transformation machinery.",https://developer.apple.com/documentation/arkit/argeoanchor | https://developer.apple.com/documentation/corelocation/cllocationcoordinate2d
arkit,Apple ARKit and RealityKit,device-platform,shipping,Spatial & geospatial,geo.anchor-local,Local anchors,protocol,none,An anchor made on one device never leaves it; the sharing case is the next row.,native,verified,"Anchors are the core primitive on both device families: an ARKit anchor fixes a transform in the session's world space on iOS, and a world anchor does the same on visionOS, with a RealityKit anchor entity tethering content to a plane, image or fixed point.",https://developer.apple.com/documentation/arkit/aranchor | https://developer.apple.com/documentation/arkit/worldanchor | https://developer.apple.com/documentation/realitykit/anchorentity
arkit,Apple ARKit and RealityKit,device-platform,shipping,Spatial & geospatial,geo.anchor-shared,Shared and persistent anchors,protocol,must,"Two people in two systems must see the same thing in the same spot, and today one subject reaches this row, through an extension.",native,verified,"Three routes, all first-party. A world map serialises the mapped space and its anchors so a second device can relocalise into it; a collaborative session streams the same knowledge continuously; and on visionOS a world anchor can be created shared with nearby participants, with a provider that establishes a shared coordinate space. Persistence across runs is stated for world anchors.",https://developer.apple.com/documentation/arkit/worldanchor | https://developer.apple.com/documentation/arkit/arworldmap | https://developer.apple.com/documentation/arkit/sharedcoordinatespaceprovider
arkit,Apple ARKit and RealityKit,device-platform,shipping,Spatial & geospatial,geo.vps,Visual positioning,protocol,should,"Recovering pose from imagery can fall back to satellite position and manual alignment, at worse accuracy.",native,verified,"ARKit recovers precise pose from camera imagery by matching the live frame against Apple's own street-level localization imagery, downloaded for the area around the user's satellite position. Two limits the map should record: outdoors only, and only where Apple has captured imagery.",https://developer.apple.com/documentation/arkit/argeotrackingconfiguration
arkit,Apple ARKit and RealityKit,device-platform,shipping,Spatial & geospatial,geo.tiles,Tiled terrain and city streaming,protocol,must,"City-scale data is streamed by tile, and a tileset the receiving client cannot stream has to be converted before it is usable.",none,reported,"No tiled terrain or city streaming. Location anchors carry no geometry, and Apple's guidance for large scenes is to split meshes by hand rather than to stream by tile.",
arkit,Apple ARKit and RealityKit,device-platform,shipping,Spatial & geospatial,geo.indoor,Indoor mapping,format,should,"A structured description of an interior makes placement and routing better; without one both are cruder, and nothing reaches this row today.",via-extension,verified,"ARKit itself classifies detected planes as floor, wall, ceiling, door, window, table or seat, which is a start but not a room description. The structured interior comes from a separate framework, RoomPlan, which scans a room into parametric data and exports it as USD.",https://developer.apple.com/documentation/arkit/planeanchor/classification-swift.enum | https://developer.apple.com/documentation/roomplan
